unix,date,symbol,open,high,low,close,volume ETH,volume USDT,tradecount
1646301600000,2022-03-03 10:00:00,ETH/USDT,2885.38000000,2912.96000000,2878.00000000,2911.00000000,17144.77190000,49588760.88636900,31389
1646298000000,2022-03-03 09:00:00,ETH/USDT,2906.30000000,2908.06000000,2881.01000000,2885.38000000,15582.20190000,45071150.26643400,26787
1646294400000,2022-03-03 08:00:00,ETH/USDT,2908.02000000,2917.81000000,2894.96000000,2906.30000000,10488.46750000,30480824.33753500,19561
1646290800000,2022-03-03 07:00:00,ETH/USDT,2914.21000000,2920.81000000,2899.43000000,2908.03000000,12009.72190000,34924985.58060700,22342
1646287200000,2022-03-03 06:00:00,ETH/USDT,2898.64000000,2916.00000000,2871.74000000,2914.22000000,20189.81580000,58427268.18527700,32773
1646283600000,2022-03-03 05:00:00,ETH/USDT,2901.48000000,2914.01000000,2894.78000000,2898.65000000,9736.41690000,28289252.47481100,18870
1646280000000,2022-03-03 04:00:00,ETH/USDT,2895.01000000,2910.93000000,2887.75000000,2901.48000000,14222.40070000,41235441.92484800,31596
1646276400000,2022-03-03 03:00:00,ETH/USDT,2931.52000000,2934.20000000,2886.77000000,2895.01000000,22696.61350000,65922804.69868200,45609
1646272800000,2022-03-03 02:00:00,ETH/USDT,2946.16000000,2947.58000000,2917.63000000,2931.53000000,17798.17710000,52147230.65179600,27785
1646269200000,2022-03-03 01:00:00,ETH/USDT,2965.47000000,2966.00000000,2937.87000000,2946.16000000,13627.29860000,40210771.52976000,21653
1646265600000,2022-03-03 00:00:00,ETH/USDT,2947.31000000,2970.97000000,2931.26000000,2965.47000000,19098.49160000,56363191.27523500,26624
1646262000000,2022-03-02 23:00:00,ETH/USDT,2960.80000000,2969.48000000,2945.30000000,2947.30000000,8803.88070000,26037986.99326900,17436
1646258400000,2022-03-02 22:00:00,ETH/USDT,2975.05000000,2987.62000000,2956.16000000,2960.80000000,10461.27990000,31087997.32722200,23283
1646254800000,2022-03-02 21:00:00,ETH/USDT,2948.92000000,2979.00000000,2940.75000000,2975.05000000,11751.73560000,34708112.60907300,23091
1646251200000,2022-03-02 20:00:00,ETH/USDT,2933.32000000,2950.95000000,2929.19000000,2948.91000000,12930.05430000,38013817.82314100,23039
1646247600000,2022-03-02 19:00:00,ETH/USDT,2925.47000000,2942.42000000,2914.31000000,2933.32000000,15247.14690000,44653437.08351500,29199
1646244000000,2022-03-02 18:00:00,ETH/USDT,2945.77000000,2963.97000000,2918.28000000,2925.47000000,17938.82440000,52707333.61825600,35027
1646240400000,2022-03-02 17:00:00,ETH/USDT,2963.89000000,2979.20000000,2945.00000000,2945.78000000,13415.84630000,39731187.41425600,27559
1646236800000,2022-03-02 16:00:00,ETH/USDT,2952.70000000,2982.42000000,2943.53000000,2963.89000000,22600.88480000,67025519.67549200,40830
1646233200000,2022-03-02 15:00:00,ETH/USDT,3011.41000000,3035.00000000,2945.55000000,2952.71000000,69327.39460000,206579334.66548000,113030
1646229600000,2022-03-02 14:00:00,ETH/USDT,2943.98000000,3029.04000000,2940.92000000,3011.41000000,49079.13470000,146691237.22495000,88935
1646226000000,2022-03-02 13:00:00,ETH/USDT,2986.61000000,2991.11000000,2925.64000000,2943.98000000,42393.34290000,125007191.12729800,71847
1646222400000,2022-03-02 12:00:00,ETH/USDT,3004.32000000,3027.00000000,2951.46000000,2986.60000000,41350.46680000,123549868.40297800,61456
1646218800000,2022-03-02 11:00:00,ETH/USDT,3007.22000000,3008.77000000,2987.36000000,3004.33000000,21409.51330000,64214176.39502700,30992
1646215200000,2022-03-02 10:00:00,ETH/USDT,2992.35000000,3029.00000000,2986.23000000,3007.22000000,20235.12290000,60873553.84449800,40565
1646211600000,2022-03-02 09:00:00,ETH/USDT,2977.37000000,3005.00000000,2970.49000000,2992.35000000,25736.05180000,76923069.98936200,44207
1646208000000,2022-03-02 08:00:00,ETH/USDT,2968.81000000,3008.60000000,2950.64000000,2977.38000000,28784.30040000,85933050.10834200,50535
1646204400000,2022-03-02 07:00:00,ETH/USDT,2967.14000000,2980.42000000,2955.00000000,2968.84000000,18613.11160000,55206577.20174000,34526
1646200800000,2022-03-02 06:00:00,ETH/USDT,3000.69000000,3002.44000000,2961.20000000,2967.14000000,15994.20920000,47693888.47298900,29882
1646197200000,2022-03-02 05:00:00,ETH/USDT,2997.23000000,3008.70000000,2975.45000000,3000.69000000,19002.67960000,56928868.88642800,30355
1646193600000,2022-03-02 04:00:00,ETH/USDT,3016.65000000,3043.91000000,2983.97000000,2997.23000000,40190.10390000,121286349.47262900,66809
1646190000000,2022-03-02 03:00:00,ETH/USDT,2947.88000000,3028.00000000,2939.19000000,3016.64000000,46029.15910000,137642015.82692700,70437
1646186400000,2022-03-02 02:00:00,ETH/USDT,2931.41000000,2948.57000000,2915.00000000,2947.87000000,16992.27760000,49783187.24434700,24972
1646182800000,2022-03-02 01:00:00,ETH/USDT,2943.92000000,2958.52000000,2914.21000000,2931.41000000,22479.69010000,65941462.11164900,33457
1646179200000,2022-03-02 00:00:00,ETH/USDT,2976.33000000,2981.71000000,2922.35000000,2943.92000000,23857.53470000,70353364.94238800,38724
1646175600000,2022-03-01 23:00:00,ETH/USDT,2974.39000000,2979.37000000,2951.72000000,2976.33000000,13427.90670000,39848511.71497800,25004
1646172000000,2022-03-01 22:00:00,ETH/USDT,2955.13000000,2975.00000000,2945.13000000,2974.40000000,8263.09620000,24466102.26368900,18934
1646168400000,2022-03-01 21:00:00,ETH/USDT,2973.96000000,2979.99000000,2938.42000000,2955.07000000,13378.92270000,39573434.06891200,29415
1646164800000,2022-03-01 20:00:00,ETH/USDT,2945.95000000,2977.34000000,2943.26000000,2973.97000000,15141.88870000,44885633.49029600,32160
1646161200000,2022-03-01 19:00:00,ETH/USDT,2953.32000000,2976.48000000,2942.63000000,2945.96000000,13628.22460000,40321551.80651200,32993
1646157600000,2022-03-01 18:00:00,ETH/USDT,2934.50000000,2959.66000000,2913.87000000,2953.32000000,20425.51210000,60010567.92595500,35327
1646154000000,2022-03-01 17:00:00,ETH/USDT,2905.99000000,2959.27000000,2903.08000000,2934.50000000,23717.57110000,69393105.56103500,44013
1646150400000,2022-03-01 16:00:00,ETH/USDT,2948.99000000,2968.29000000,2897.16000000,2906.00000000,39606.67780000,116100929.65047100,67981
1646146800000,2022-03-01 15:00:00,ETH/USDT,2972.63000000,2986.10000000,2926.00000000,2949.00000000,47341.61240000,140042666.06694700,80784
1646143200000,2022-03-01 14:00:00,ETH/USDT,3019.63000000,3037.94000000,2967.11000000,2972.63000000,62621.07060000,188025956.59299400,98639
1646139600000,2022-03-01 13:00:00,ETH/USDT,2950.44000000,3033.33000000,2944.28000000,3019.76000000,83568.53660000,249820427.61210300,137550
1646136000000,2022-03-01 12:00:00,ETH/USDT,2903.08000000,2954.08000000,2899.39000000,2950.45000000,44309.09300000,129821417.74259400,77316
1646132400000,2022-03-01 11:00:00,ETH/USDT,2920.59000000,2929.15000000,2887.33000000,2903.08000000,23864.94880000,69434517.34204800,43494
1646128800000,2022-03-01 10:00:00,ETH/USDT,2894.99000000,2920.96000000,2854.09000000,2920.59000000,34153.70490000,98565081.92399300,61518
1646125200000,2022-03-01 09:00:00,ETH/USDT,2923.66000000,2923.96000000,2887.13000000,2895.00000000,27668.99200000,80377411.81084300,49240
1646121600000,2022-03-01 08:00:00,ETH/USDT,2921.94000000,2932.67000000,2907.67000000,2923.67000000,14990.78880000,43798709.30548100,34925
1646118000000,2022-03-01 07:00:00,ETH/USDT,2917.31000000,2932.00000000,2913.86000000,2922.03000000,14560.19060000,42558852.90062400,30952
1646114400000,2022-03-01 06:00:00,ETH/USDT,2913.46000000,2921.91000000,2882.33000000,2917.31000000,19896.51050000,57768266.83204400,36087
1646110800000,2022-03-01 05:00:00,ETH/USDT,2925.01000000,2934.20000000,2905.43000000,2913.47000000,14572.97260000,42545303.20304700,26063
1646107200000,2022-03-01 04:00:00,ETH/USDT,2911.83000000,2932.43000000,2905.42000000,2925.01000000,25576.45250000,74682256.07491300,38194
